iter,diffusion,ULA,tempering,dilation,DAZ
1972,0.000501253,0.000501253,0.039343234,0.91722167,0.004755817
1978,0.0004976044,0.0004976044,0.03907041,0.91671425,0.004747092
1985,0.0004933841,0.0004933841,0.038754605,0.9161188,0.0047368985
1991,0.0004897977,0.0004897977,0.03848603,0.91560537,0.0047281473
1998,0.00048564942,0.00048564942,0.038175162,0.91500276,0.0047179204
2005,0.0004815391,0.0004815391,0.03786689,0.91439617,0.0047076773
2011,0.0004780463,0.0004780463,0.03760473,0.9138732,0.0046988837
2018,0.00047400594,0.00047400594,0.037301276,0.9132594,0.004688606
2024,0.00047057203,0.00047057203,0.03704319,0.9127301,0.0046797856
2031,0.0004666002,0.0004666002,0.03674445,0.9121089,0.0046694768
2037,0.0004632248,0.0004632248,0.036490373,0.91157323,0.004660628
2044,0.00045932003,0.00045932003,0.036196258,0.9109446,0.0046502873
2051,0.00045545076,0.00045545076,0.035904612,0.9103119,0.00463993
2057,0.0004521625,0.0004521625,0.03565658,0.90976644,0.00463104
2064,0.00044835842,0.00044835842,0.03536946,0.9091262,0.004620651
2070,0.0004451254,0.0004451254,0.03512526,0.9085742,0.004611734
2077,0.00044138537,0.00044138537,0.034842584,0.90792644,0.0046013137
2083,0.0004382064,0.0004382064,0.034602158,0.9073678,0.0045923684
2090,0.00043452886,0.00043452886,0.034323856,0.90671235,0.004581917
2097,0.00043088468,0.00043088468,0.034047864,0.90605277,0.0045714504
2103,0.00042778725,0.00042778725,0.033813138,0.9054841,0.0045624655
2110,0.00042420384,0.00042420384,0.03354141,0.9048166,0.0045519695
2116,0.00042115824,0.00042115824,0.033310298,0.9042412,0.0045429575
2123,0.00041763455,0.00041763455,0.03304276,0.903566,0.0045324313
2129,0.00041463945,0.00041463945,0.032815207,0.9029838,0.004523393
2136,0.00041117423,0.00041117423,0.032551788,0.90230066,0.0045128367
2143,0.0004077403,0.0004077403,0.032290567,0.90161324,0.0045022615
2149,0.00040482118,0.00040482118,0.03206839,0.9010205,0.0044931876
2156,0.00040144412,0.00040144412,0.03181117,0.90032506,0.004482584
2162,0.0003985735,0.0003985735,0.031592395,0.89972556,0.004473483
2169,0.00039525217,0.00039525217,0.03133914,0.899022,0.0044628517
2175,0.000392429,0.000392429,0.031123728,0.8984155,0.0044537275
2182,0.00038916236,0.00038916236,0.030874351,0.89770377,0.0044430667
2189,0.00038592514,0.00038592514,0.030627038,0.8969876,0.004432389
2195,0.00038317317,0.00038317317,0.03041669,0.89637035,0.0044232258
2202,0.00037998904,0.00037998904,0.030173166,0.895646,0.004412522
2208,0.00037728227,0.00037728227,0.029966034,0.89502156,0.004403337
2215,0.00037415032,0.00037415032,0.029726231,0.8942889,0.004392606
2222,0.0003710461,0.0003710461,0.029488416,0.8935517,0.004381859
2228,0.00036840726,0.00036840726,0.02928614,0.8929162,0.004372638
2235,0.00036535383,0.00036535383,0.029051958,0.89217067,0.0043618632
2241,0.00036275806,0.00036275806,0.028852772,0.89152795,0.004352615
2248,0.00035975475,0.00035975475,0.028622165,0.8907739,0.0043418137
2254,0.00035720147,0.00035720147,0.028426014,0.89012384,0.0043325443
2261,0.00035424682,0.00035424682,0.028198924,0.8893612,0.0043217177
2268,0.00035131833,0.00035131833,0.027973708,0.888594,0.0043108757
2274,0.00034882876,0.00034882876,0.02778214,0.8879326,0.0043015713
2281,0.00034594783,0.00034594783,0.027560351,0.8871567,0.0042907037
2287,0.00034349863,0.00034349863,0.027371699,0.8864879,0.0042813765
2294,0.0003406643,0.0003406643,0.027153287,0.88570327,0.0042704823
2300,0.0003382548,0.0003382548,0.026967503,0.885027,0.0042611337
2307,0.0003354666,0.0003354666,0.026752409,0.8842336,0.004250214
2314,0.0003327027,0.0003327027,0.026539082,0.8834354,0.0042392826
2320,0.00033035263,0.00033035263,0.026357621,0.88274753,0.004229901
2327,0.00032763366,0.00032763366,0.02614753,0.8819404,0.0042189453
2333,0.00032532157,0.00032532157,0.025968827,0.8812449,0.0042095426
2340,0.00032264617,0.00032264617,0.025761921,0.88042897,0.004198561
2346,0.0003203717,0.0003203717,0.025585925,0.8797257,0.004189138
2353,0.00031773915,0.00031773915,0.02538216,0.8789007,0.004178132
2360,0.00031513002,0.00031513002,0.025180059,0.8780708,0.0041671153
2366,0.0003129109,0.0003129109,0.025008148,0.8773556,0.004157662
2373,0.0003103438,0.0003103438,0.024809109,0.8765167,0.00414662
2379,0.00030816047,0.00030816047,0.024639798,0.87579364,0.004137146
2386,0.00030563434,0.00030563434,0.024443766,0.8749455,0.0041260817
2392,0.0003034859,0.0003034859,0.02427702,0.87421465,0.0041165897
2399,0.00030100014,0.00030100014,0.024083955,0.87335724,0.004105504
2406,0.00029853557,0.00029853557,0.023892464,0.87249494,0.0040944074
